team,wins,p_champion
Portugal,65,0.13
Belgium,57,0.114
Netherlands,49,0.098
Argentina,35,0.07
Spain,34,0.068
Germany,29,0.058
Chile,24,0.048
Uruguay,19,0.038
Colombia,19,0.038
England,19,0.038
France,16,0.032
Czechia,16,0.032
Poland,15,0.03
Brazil,13,0.026
Greece,12,0.024
Wales,11,0.022
Sweden,8,0.016
USA,7,0.014
Norway,6,0.012
Italy,6,0.012
Mexico,6,0.012
Switzerland,5,0.01
Croatia,5,0.01
Russia,4,0.008
Romania,4,0.008
Denmark,3,0.006
Nigeria,3,0.006
Turkey,3,0.006
Yugoslavia,3,0.006
Paraguay,2,0.004
Republic of Ireland,1,0.002
Bulgaria,1,0.002
